s,p,o,weight,model,
ex:person_135,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_18031,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_18031,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_18031,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_18050,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_18050,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_18050,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_18235,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_18235,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_18235,nmo:hasPortrait,ex:person_17,1.0,,NULL
ex:coin_18185,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_18185,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_18185,nmo:hasPortrait,ex:person_43,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:issuer_150,ex:inPossibleIssuersOf,ex:person_33,1.0,,NULL
ex:person_33,ex:hasPossibleIssuers,ex:issuer_150,1.0,,NULL
ex:coin_14447,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14447,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14447,nmo:hasPortrait,ex:person_120,1.0,,NULL
ex:person_120,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_34,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_39,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_40,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_41,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_43,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_120,1.0,,NULL
ex:person_34,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_34,ex:hasPossibleIssuers,ex:issuer_161,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_40,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_40,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
