s,p,o,weight,model,
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_185,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_4,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_5,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_108,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_109,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_112,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_114,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_116,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_117,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_129,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_155,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_183,1.0,,NULL
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_184,1.0,,NULL
ex:person_5,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_5,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_108,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_108,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_109,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_109,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_109,ex:hasPossibleIssuers,ex:issuer_55,1.0,,NULL
ex:person_153,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_154,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_169,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_185,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_112,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_114,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_116,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_117,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_183,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_184,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_184,ex:hasPossibleIssuers,ex:issuer_55,1.0,,NULL
ex:coin_35263,nmo:hasIssuer,ex:issuer_58,1.0,,NULL
ex:coin_35263,nmo:hasIssuer,ex:issuer_60,1.0,,NULL
ex:coin_35263,nmo:hasPortrait,ex:person_6,1.0,,NULL
ex:coin_35263,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_6,ex:hasPossibleIssuers,ex:issuer_60,1.0,,NULL
ex:person_6,ex:hasPossibleIssuers,ex:issuer_63,1.0,,NULL
ex:issuer_58,ex:inPossibleIssuersOf,ex:person_129,1.0,,NULL
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_6,1.0,,NULL
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_7,1.0,,NULL
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_9,1.0,,NULL
ex:person_7,ex:hasPossibleIssuers,ex:issuer_60,1.0,,NULL
ex:person_7,ex:hasPossibleIssuers,ex:issuer_63,1.0,,NULL
ex:person_7,ex:hasPossibleIssuers,ex:issuer_70,1.0,,NULL
ex:person_9,ex:hasPossibleIssuers,ex:issuer_60,1.0,,NULL
ex:person_9,ex:hasPossibleIssuers,ex:issuer_63,1.0,,NULL
ex:person_9,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_5079,nmo:hasIssuer,ex:issuer_88,1.0,,NULL
ex:coin_5079,nmo:hasIssuer,ex:issuer_94,1.0,,NULL
ex:coin_5079,nmo:hasPortrait,ex:person_118,1.0,,NULL
ex:coin_5079,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_118,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_14,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_16,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_17,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_19,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_118,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_126,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_135,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_140,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_141,1.0,,NULL
ex:issuer_94,ex:inPossibleIssuersOf,ex:person_21,1.0,,NULL
ex:issuer_94,ex:inPossibleIssuersOf,ex:person_138,1.0,,NULL
ex:issuer_94,ex:inPossibleIssuersOf,ex:person_141,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269,1.0,,NULL
ex:person_19,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_126,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:person_140,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_140,ex:hasPossibleIssuers,ex:issuer_93,1.0,,NULL
ex:person_141,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_141,ex:hasPossibleIssuers,ex:issuer_94,1.0,,NULL
ex:person_141,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:person_21,ex:hasPossibleIssuers,ex:issuer_94,1.0,,NULL
ex:person_138,ex:hasPossibleIssuers,ex:issuer_94,1.0,,NULL
ex:person_138,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_28981,nmo:hasIssuer,ex:issuer_94,1.0,,NULL
ex:coin_28981,nmo:hasIssuer,ex:issuer_88,1.0,,NULL
ex:coin_28981,nmo:hasPortrait,ex:person_118,1.0,,NULL
ex:coin_28981,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_41406,nmo:hasIssuer,ex:issuer_113,1.0,,NULL
ex:coin_41406,nmo:hasIssuer,ex:issuer_114,1.0,,NULL
ex:coin_41406,nmo:hasPortrait,ex:person_57,1.0,,NULL
ex:coin_41406,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_57,ex:hasPossibleIssuers,ex:issuer_113,1.0,,NULL
ex:issuer_113,ex:inPossibleIssuersOf,ex:person_57,1.0,,NULL
ex:coin_36911,nmo:hasIssuer,ex:issuer_114,1.0,,NULL
ex:coin_36911,nmo:hasIssuer,ex:issuer_119,1.0,,NULL
ex:coin_36911,nmo:hasPortrait,ex:person_57,1.0,,NULL
ex:coin_36911,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29,1.0,,NULL
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119,1.0,,NULL
ex:coin_28477,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_28477,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_28477,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_28477,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_33,ex:hasPossibleIssuers,ex:issuer_150,1.0,,NULL
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_31,1.0,,NULL
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_42,1.0,,NULL
ex:issuer_150,ex:inPossibleIssuersOf,ex:person_33,1.0,,NULL
ex:person_31,ex:hasPossibleIssuers,ex:issuer_131,1.0,,NULL
ex:person_31,ex:hasPossibleIssuers,ex:issuer_281,1.0,,NULL
ex:person_42,ex:hasPossibleIssuers,ex:issuer_131,1.0,,NULL
ex:coin_28478,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_28478,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_28478,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_28478,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_28481,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_28481,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_28481,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_28481,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_28486,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_28486,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_28486,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_28486,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_34,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_34,ex:hasPossibleIssuers,ex:issuer_161,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_34,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_39,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_40,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_41,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_43,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_120,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_40,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_40,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_120,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:coin_28489,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_28489,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_28489,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_28489,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_28575,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_28575,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_28575,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_28575,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_29358,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_29358,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_29358,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_29358,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_29358,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_29362,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_29362,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_29362,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_29362,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_29362,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_29710,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_29710,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_29710,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_29710,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_29994,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_29994,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_29994,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_29994,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30061,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_30061,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_30061,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_30061,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30142,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_30142,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_30142,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_30142,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30170,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_30170,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_30170,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_30170,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30184,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_30184,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_30184,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_30184,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30215,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_30215,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_30215,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_30215,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30880,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_30880,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_30880,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_30880,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_31243,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_31243,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_31243,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_31243,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_31303,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_31303,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_31303,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_31303,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_32109,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_32109,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_32109,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_32109,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_32913,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_32913,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_32913,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_32913,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_33222,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_33222,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_33222,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_33222,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_33405,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_33405,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_33405,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_33405,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_34829,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_34829,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_34829,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_34829,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_39792,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_39792,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_39792,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_39792,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_40127,nmo:hasIssuer,ex:issuer_131,1.0,,NULL
ex:coin_40127,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_40127,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_40127,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_30267,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_30267,nmo:hasIssuer,ex:issuer_158,1.0,,NULL
ex:coin_30267,nmo:hasPortrait,ex:person_56,1.0,,NULL
ex:coin_30267,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_56,ex:hasPossibleIssuers,ex:issuer_158,1.0,,NULL
ex:issuer_158,ex:inPossibleIssuersOf,ex:person_56,1.0,,NULL
ex:coin_30913,nmo:hasIssuer,ex:issuer_158,1.0,,NULL
ex:coin_30913,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_30913,nmo:hasPortrait,ex:person_56,1.0,,NULL
ex:coin_30913,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_32683,nmo:hasIssuer,ex:issuer_158,1.0,,NULL
ex:coin_32683,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_32683,nmo:hasPortrait,ex:person_56,1.0,,NULL
ex:coin_32683,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_32754,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_32754,nmo:hasIssuer,ex:issuer_158,1.0,,NULL
ex:coin_32754,nmo:hasPortrait,ex:person_56,1.0,,NULL
ex:coin_32754,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_33507,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_33507,nmo:hasIssuer,ex:issuer_158,1.0,,NULL
ex:coin_33507,nmo:hasPortrait,ex:person_56,1.0,,NULL
ex:coin_33507,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:coin_41343,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_41343,nmo:hasIssuer,ex:issuer_152,1.0,,NULL
ex:coin_41343,nmo:hasPortrait,ex:person_120,1.0,,NULL
ex:coin_41343,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_36,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_39,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_40,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_41,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_43,1.0,,NULL
ex:person_36,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:coin_42318,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_42318,nmo:hasIssuer,ex:issuer_161,1.0,,NULL
ex:coin_42318,nmo:hasPortrait,ex:person_70,1.0,,NULL
ex:coin_42318,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_70,ex:hasPossibleIssuers,ex:issuer_59,1.0,,NULL
ex:issuer_161,ex:inPossibleIssuersOf,ex:person_34,1.0,,NULL
