s,p,o,weight,model,
ex:coin_6455,nmo:hasPortrait,ex:person_17,1.0,,NULL
ex:coin_10165,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_10165,nmo:hasIssuer,ex:issuer_88,1.0,,NULL
ex:coin_10165,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_10165,nmo:hasPortrait,ex:person_17,1.0,,NULL
ex:coin_7557,nmo:hasIssuer,ex:issuer_97,1.0,,NULL
ex:coin_7557,nmo:hasIssuer,ex:issuer_100,1.0,,NULL
ex:coin_7557,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_7557,nmo:hasPortrait,ex:person_188,1.0,,NULL
ex:person_188,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:issuer_97,ex:inPossibleIssuersOf,ex:person_148,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_22,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_23,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_127,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_136,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_148,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_162,1.0,,NULL
ex:issuer_100,ex:inPossibleIssuersOf,ex:person_188,1.0,,NULL
ex:person_148,ex:hasPossibleIssuers,ex:issuer_97,1.0,,NULL
ex:person_148,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:person_148,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:person_22,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:person_23,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:person_127,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:person_127,ex:hasPossibleIssuers,ex:issuer_103,1.0,,NULL
ex:person_136,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:person_136,ex:hasPossibleIssuers,ex:issuer_103,1.0,,NULL
ex:person_162,ex:hasPossibleIssuers,ex:issuer_100,1.0,,NULL
ex:person_162,ex:hasPossibleIssuers,ex:issuer_231,1.0,,NULL
ex:coin_14540,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14540,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14540,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14540,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:person_33,ex:hasPossibleIssuers,ex:issuer_150,1.0,,NULL
ex:issuer_150,ex:inPossibleIssuersOf,ex:person_33,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_34,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_39,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_40,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_41,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_43,1.0,,NULL
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_120,1.0,,NULL
ex:person_34,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_34,ex:hasPossibleIssuers,ex:issuer_161,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_40,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_40,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:person_120,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:coin_14541,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14541,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14541,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14541,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_14542,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14542,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14542,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14542,nmo:hasPortrait,ex:person_33,1.0,,NULL
ex:coin_14544,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14544,nmo:hasIssuer,ex:issuer_152,1.0,,NULL
ex:coin_14544,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14544,nmo:hasPortrait,ex:person_36,1.0,,NULL
ex:person_36,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_36,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_39,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_40,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_41,1.0,,NULL
ex:issuer_152,ex:inPossibleIssuersOf,ex:person_43,1.0,,NULL
ex:coin_14547,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14547,nmo:hasIssuer,ex:issuer_152,1.0,,NULL
ex:coin_14547,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14547,nmo:hasPortrait,ex:person_36,1.0,,NULL
ex:coin_14562,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14562,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14562,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14562,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_14563,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14563,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14563,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14563,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_14565,nmo:hasIssuer,ex:issuer_150,1.0,,NULL
ex:coin_14565,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14565,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14565,nmo:hasPortrait,ex:person_34,1.0,,NULL
ex:coin_14548,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14548,nmo:hasIssuer,ex:issuer_152,1.0,,NULL
ex:coin_14548,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14548,nmo:hasPortrait,ex:person_36,1.0,,NULL
ex:coin_14549,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14549,nmo:hasIssuer,ex:issuer_152,1.0,,NULL
ex:coin_14549,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14549,nmo:hasPortrait,ex:person_36,1.0,,NULL
ex:coin_14556,nmo:hasIssuer,ex:issuer_151,1.0,,NULL
ex:coin_14556,nmo:hasIssuer,ex:issuer_152,1.0,,NULL
ex:coin_14556,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_14556,nmo:hasPortrait,ex:person_36,1.0,,NULL
